Case,Algorithm,Cost,Expanded,Time
easy_1,BFS,18,382,0.00401
easy_1,UCS,18,382,0.003182
easy_1,GBFS-Manhattan,18,19,0.0
easy_1,GBFS-Landmark,20,35,0.0
easy_1,A*-Manhattan,18,76,0.00101
easy_1,A*-Landmark,18,102,0.0
easy_2,BFS,14,127,0.0
easy_2,UCS,14,127,0.0
easy_2,GBFS-Manhattan,14,15,0.0
easy_2,GBFS-Landmark,16,26,0.0
easy_2,A*-Manhattan,14,64,0.001
easy_2,A*-Landmark,14,82,0.002012
medium_1,BFS,62,3116,0.037621
medium_1,UCS,62,3116,0.032228
medium_1,GBFS-Manhattan,62,67,0.001999
medium_1,GBFS-Landmark,74,269,0.0148
medium_1,A*-Manhattan,62,957,0.020198
medium_1,A*-Landmark,62,3010,0.068174
medium_2,BFS,38,1253,0.021686
medium_2,UCS,38,1253,0.006997
medium_2,GBFS-Manhattan,38,40,0.0
medium_2,GBFS-Landmark,50,87,0.0
medium_2,A*-Manhattan,38,241,0.0
medium_2,A*-Landmark,38,336,0.014459
hard_1,BFS,138,25258,0.228623
hard_1,UCS,138,25258,0.200118
hard_1,GBFS-Manhattan,138,512,0.016411
hard_1,GBFS-Landmark,170,323,0.027443
hard_1,A*-Manhattan,138,4831,0.118603
hard_1,A*-Landmark,138,22182,0.417285
hard_2,BFS,inf,3444,0.033589
hard_2,UCS,inf,3444,0.025126
hard_2,GBFS-Manhattan,inf,52089,0.494828
hard_2,GBFS-Landmark,inf,6481,0.062848
hard_2,A*-Manhattan,inf,6483,0.051695
hard_2,A*-Landmark,inf,6481,0.075964
energy_1,BFS,inf,273,0.001589
energy_1,UCS,inf,273,0.002
energy_1,GBFS-Manhattan,inf,928,0.008931
energy_1,GBFS-Landmark,inf,1081,0.007425
energy_1,A*-Manhattan,inf,1,0.0
energy_1,A*-Landmark,inf,1,0.0
energy_2,BFS,38,996,0.004189
energy_2,UCS,38,996,0.0
energy_2,GBFS-Manhattan,38,39,0.0
energy_2,GBFS-Landmark,40,3533,0.03802
energy_2,A*-Manhattan,38,320,0.0
energy_2,A*-Landmark,38,566,0.004956
